"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL483748";"GSK-953913A";"0";"390.46";"0";"4.13";"GSK953913A";"NS(=O)(=O)c1ccc(-c2cc3ccncc3cc2OCc2ccccc2)cc1";"Inhibition";"'='";"-0.94";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1909383";"GW784307A";"0";"494.99";"0";"2.56";"GW784307A";"COc1cccc(-n2ncc3c(N/N=C/c4ccc(C(=O)NCCN(C)C)cc4)ncnc32)c1.Cl";"Inhibition";"'='";"5.84";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL196022";"GW642125X";"0";"241.25";"0";"2.48";"GW642125X";"COc1ccc(-c2coc3ncnc(N)c23)cc1";"Inhibition";"'='";"-3.97";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL607535";"MEISOINDIGO";"0";"276.30";"0";"2.53";"Meisoindigo";"CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21";"Activity";"'='";"88.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4806249";"Inhibition of DNA-tagged human TYK2 JH2 pseudokinase domain assessed as percent of control at 50000 nM by qPCR analysis relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4804284";"38";"Patent Bioactivity Data";"";"";"None";"Dose = 50000.0 nM"
"CHEMBL2181327";"";"0";"459.59";"0";"4.49";"17h, 85:15 trans/cis mixture";"CN(C)CCN(C)c1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2";"IC50";"'='";"71.0";"nM";"7.15";"";"";"UO_0000065";"15.55";"0.29";"2.66";"11.39";"0";"CHEMBL2183781";"Inhibition of recombinant TYK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176955";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL2181315";"";"0";"359.43";"0";"4.99";"16a, 85:15 trans/cis mixture";"C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1";"IC50";"'='";"5200.0";"nM";"5.28";"";"";"UO_0000065";"14.70";"0.27";"0.29";"9.39";"0";"CHEMBL2183781";"Inhibition of recombinant TYK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176955";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL471789";"GSK-1030059A";"0";"476.48";"1";"5.90";"GSK1030059A";"COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(C)=O)s3)c2cc1OC";"Inhibition";"'='";"-1.78";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962192";"GSK_PKIS: TYK2 mean inhibition at 0.1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1794067";"GSK-978744A";"0";"487.97";"0";"3.71";"GSK978744A";"C[C@@H](Oc1cc(-n2cnc3ccc(OC[C@@H](O)CO)cc32)sc1C(N)=O)c1ccccc1Cl";"Inhibition";"'='";"2.03";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL156263";"";"0";"294.31";"0";"2.17";"SB-376719";"COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O";"Inhibition";"'='";"-1.53";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL266707";"";"0";"297.36";"0";"3.86";"SKF-86055";"Fc1ccc(-c2c(-c3ccncc3)nc3n2CCS3)cc1";"Inhibition";"'='";"0.83";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962303";"GSK_PKIS: TYK2 mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3553";"Tyrosine-protein kinase TYK2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
