cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
   134821691,Deucravacitinib,"BMS-986165|Deucravacitinib|1609392-27-9|Tyk2-IN-4|BMS986165|UNII-N0A21N6RAU|N0A21N6RAU|6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(1-methyl-1,2,4-triazol-3-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide|Deucravacitinib (USAN)|Deucravacitinib [USAN]|CHEMBL4435170|SCHEMBL20520348|GTPL10432|EX-A3154|BDBM50507816|MFCD31715455|NSC825520|s8879|Tyk2-IN-4(BMS986165)|WHO 11342|AT18623|NSC-825520|compound 11 [PMID: 31318208}|NCGC00687789-01|AC-31543|HY-117287|CS-0065044|D11817|3-Pyridazinecarboxamide, 6-((cyclopropylcarbonyl)amino]-4-((2-methoxy-3-(1-methyl-1H-1,2,4-triazol-3-yl)phenyl)amino)N-(methyl-d3)-|6-((cyclopropylcarbonyl)amino]-4-((2-methoxy-3-(1-methyl-1H-1,2,4-triazol-3-yl)phenyl)amino)-N-((2H3)methyl)pyridazine-3-carboxamide|6-[(Cyclopropylcarbonyl)amino]-4-[[2-methoxy-3-(1-methyl-1H-1,2,4-triazol-3-yl)phenyl]amino]-N-(methyl-d3)-3-pyridazinecarboxamide",425.500,C20H22N8O3,136.000,648.000,1.200,31,3,8,7,"InChI=1S/C20H22N8O3/c1-21-20(30)16-14(9-15(25-26-16)24-19(29)11-7-8-11)23-13-6-4-5-12(17(13)31-3)18-22-10-28(2)27-18/h4-6,9-11H,7-8H2,1-3H3,(H,21,30)(H2,23,24,25,29)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN(C=N3)C)NC(=O)C4CC4,BZZKEPGENYLQSC-FIBGUPNXSA-N,"6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(1-methyl-1,2,4-triazol-3-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide",NULL,Biological Test Results|Classification|Drug and Medication Information|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry|Use and Manufacturing,8,1|3|5|7|9|13|15|19|21|23|25|29|31|33|35|37|39|41|43|45|47|49|53|55|59|65|67|71|73|77|79|81|83|85|89|91|93|95|97|99|101|103|105|107|109|113|115|119|121|123|125|129|131|133|137|139|141|143|145|1534892|1579023|1579024|1579025|1579026|1579027|1579028|1579029|1579030|1579031|1579032|1579033|1579034|1579035|1579036|1579037|1579038|1579039|1579040|1579041|1579042|1579043|1579044|1579045|1579046|1579047|1579048|1579049|1579050|1579051|1579052|1579053|1579054|1579055|1579056|1579057|1579058|1579059|1579060|1579061|1579062|1579063|1579064|1579065|1579066|1579067|1579068|1579069|1579070|1579071|1579072|1579073|1579074|1579075|1579076|1579077|1579078|1579079|1579080|1579081|1579082|1579083|1579084|1579085|1579086|1579087|1579088|1579089|1579090|1579091|1579092|1579093|1579094|1579095|1579096|1579097|1579111|1579112|1579113|1579114|1579115|1579116|1579117|1579118|1579121|1579122|1579123|1579124|1579126|1634169|1634170|1645849|1645850|1744127|1744128|1744129|1744130|1744131|1744132,20181030,"A2B Chem|AA BLOCKS|Aaron Chemicals LLC|AbaChemScene|abcr GmbH|AbMole Bioscience|AstaTech, Inc.|BenchChem|BindingDB|Chem-Space.com Database|ChEMBL|ChemIDplus|CymitQuimica|DC Chemicals|DTP/NCI|eNovation Chemicals|Excenen Pharmatech|FDA Global Substance Registration System (GSRS)|Google Patents|Hangzhou APIChem Technology|IUPHAR/BPS Guide to PHARMACOLOGY|KEGG|MedChemexpress MCE|MolPort|National Center for Advancing Translational Sciences (NCATS)|PATENTSCOPE (WIPO)|Selleck Chemicals|Smolecule|Sun-shine Chemical|SureChEMBL|TargetMol|THE BioTek|Thieme Chemistry",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|NIH Initiatives|Research and Development|Subscription Services,NULL
157028804,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyridin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4785512|BDBM50565980,492.500,C25H27N7O4,138.000,792.000,1.500,36,3,8,8,"InChI=1S/C25H27N7O4/c1-26-24(34)21-19(12-20(30-31-21)29-23(33)14-8-9-14)28-18-7-5-6-16(22(18)36-4)17-11-10-15(13-27-17)25(35)32(2)3/h5-7,10-14H,8-9H2,1-4H3,(H,26,34)(H2,28,29,30,33)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(C=C3)C(=O)N(C)C)NC(=O)C4CC4,QWYHQNIOFBKVSH-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyridin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028799,6-(cyclopropanecarbonylamino)-4-[5-fluoro-3-[5-(2-hydroxypropan-2-yl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4784838|BDBM50565975,498.500,C24H26FN7O4,151.000,778.000,1.200,36,4,10,8,"InChI=1S/C24H26FN7O4/c1-24(2,35)13-10-27-21(28-11-13)15-7-14(25)8-17(20(15)36-4)29-16-9-18(30-22(33)12-5-6-12)31-32-19(16)23(34)26-3/h7-12,35H,5-6H2,1-4H3,(H,26,34)(H2,29,30,31,33)/i3D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC(=CC(=C2OC)C3=NC=C(C=N3)C(C)(C)O)F)NC(=O)C4CC4,WNOFBBGAGJRITM-HPRDVNIFSA-N,6-(cyclopropanecarbonylamino)-4-[5-fluoro-3-[5-(2-hydroxypropan-2-yl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028795,6-(cyclopropanecarbonylamino)-4-[3-[5-(2-hydroxypropan-2-yl)pyridin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4796821|BDBM50565979,479.500,C25H28N6O4,138.000,748.000,1.800,35,4,8,8,"InChI=1S/C25H28N6O4/c1-25(2,34)15-10-11-17(27-13-15)16-6-5-7-18(22(16)35-4)28-19-12-20(29-23(32)14-8-9-14)30-31-21(19)24(33)26-3/h5-7,10-14,34H,8-9H2,1-4H3,(H,26,33)(H2,28,29,30,32)/i3D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(C=C3)C(C)(C)O)NC(=O)C4CC4,YICKYLBZLUTENS-HPRDVNIFSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(2-hydroxypropan-2-yl)pyridin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028789,6-(cyclopropanecarbonylamino)-4-[3-[6-(2-hydroxypropan-2-yl)pyridazin-3-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4797596|BDBM50565981,480.500,C24H27N7O4,151.000,749.000,0.800,35,4,9,8,"InChI=1S/C24H27N7O4/c1-24(2,34)18-11-10-15(28-29-18)14-6-5-7-16(21(14)35-4)26-17-12-19(27-22(32)13-8-9-13)30-31-20(17)23(33)25-3/h5-7,10-13,34H,8-9H2,1-4H3,(H,25,33)(H2,26,27,30,32)/i3D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NN=C(C=C3)C(C)(C)O)NC(=O)C4CC4,LWXKNWHEEOPHMD-HPRDVNIFSA-N,6-(cyclopropanecarbonylamino)-4-[3-[6-(2-hydroxypropan-2-yl)pyridazin-3-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028772,6-(cyclopropanecarbonylamino)-4-[3-[5-(2-hydroxypropan-2-yl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4792231|BDBM50565971,480.500,C24H27N7O4,151.000,741.000,1.100,35,4,9,8,"InChI=1S/C24H27N7O4/c1-24(2,34)14-11-26-21(27-12-14)15-6-5-7-16(20(15)35-4)28-17-10-18(29-22(32)13-8-9-13)30-31-19(17)23(33)25-3/h5-7,10-13,34H,8-9H2,1-4H3,(H,25,33)(H2,28,29,30,32)/i3D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(C=N3)C(C)(C)O)NC(=O)C4CC4,JTHSHTJUGJKWSN-HPRDVNIFSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(2-hydroxypropan-2-yl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744133|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028762,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyrazin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4777528|BDBM50565978,493.500,C24H26N8O4,151.000,794.000,0.800,36,3,9,8,"InChI=1S/C24H26N8O4/c1-25-23(34)20-16(10-19(30-31-20)29-22(33)13-8-9-13)28-15-7-5-6-14(21(15)36-4)17-11-27-18(12-26-17)24(35)32(2)3/h5-7,10-13H,8-9H2,1-4H3,(H,25,34)(H2,28,29,30,33)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=CN=C(C=N3)C(=O)N(C)C)NC(=O)C4CC4,NRRHFYJBAOEEEP-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyrazin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134|1744135|1744136|1744137|1744138|1744139,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028757,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(4-methoxypyrimidin-2-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4776752|BDBM50565970,452.500,C22H23N7O4,140.000,679.000,1.700,33,3,9,8,"InChI=1S/C22H23N7O4/c1-23-22(31)18-15(11-16(28-29-18)26-21(30)12-7-8-12)25-14-6-4-5-13(19(14)33-3)20-24-10-9-17(27-20)32-2/h4-6,9-12H,7-8H2,1-3H3,(H,23,31)(H2,25,26,28,30)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=CC(=N3)OC)NC(=O)C4CC4,XRWVUYRJQUAYSL-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-[2-methoxy-3-(4-methoxypyrimidin-2-yl)anilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028749,6-(cyclopropanecarbonylamino)-4-(2-methoxy-3-pyrimidin-2-ylanilino)-N-(trideuteriomethyl)pyridine-3-carboxamide,CHEMBL4789015|BDBM50565983,421.500,C22H22N6O3,118.000,624.000,2.100,31,3,7,7,"InChI=1S/C22H22N6O3/c1-23-22(30)15-12-26-18(28-21(29)13-7-8-13)11-17(15)27-16-6-3-5-14(19(16)31-2)20-24-9-4-10-25-20/h3-6,9-13H,7-8H2,1-2H3,(H,23,30)(H2,26,27,28,29)/i1D3",[2H]C([2H])([2H])NC(=O)C1=CN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=CC=N3)NC(=O)C4CC4,BSJMLESGJKWBGG-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-(2-methoxy-3-pyrimidin-2-ylanilino)-N-(trideuteriomethyl)pyridine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744133|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
157028746,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,CHEMBL4795231|BDBM50565972,493.500,C24H26N8O4,151.000,786.000,0.900,36,3,9,8,"InChI=1S/C24H26N8O4/c1-25-23(34)19-17(10-18(30-31-19)29-22(33)13-8-9-13)28-16-7-5-6-15(20(16)36-4)21-26-11-14(12-27-21)24(35)32(2)3/h5-7,10-13H,8-9H2,1-4H3,(H,25,34)(H2,28,29,30,33)/i1D3",[2H]C([2H])([2H])NC(=O)C1=NN=C(C=C1NC2=CC=CC(=C2OC)C3=NC=C(C=N3)C(=O)N(C)C)NC(=O)C4CC4,ZUDUVNLDLSPJRG-FIBGUPNXSA-N,6-(cyclopropanecarbonylamino)-4-[3-[5-(dimethylcarbamoyl)pyrimidin-2-yl]-2-methoxyanilino]-N-(trideuteriomethyl)pyridazine-3-carboxamide,NULL,Biological Test Results|Classification|Patents,3,1744127|1744128|1744129|1744133|1744134,20211130,BindingDB|ChEMBL|PATENTSCOPE (WIPO),Curation Efforts|Governmental Organizations|Research and Development,NULL
