iter	Passed	Remaining
0	10	10422
1	20	10048
2	29	9955
3	39	9932
4	49	9854
5	59	9834
6	69	9864
7	79	9856
8	89	9862
9	99	9828
10	109	9816
11	119	9856
12	129	9807
13	138	9773
14	148	9751
15	158	9731
16	168	9738
17	178	9716
18	188	9716
19	197	9697
20	207	9676
21	219	9776
22	229	9748
23	239	9729
24	248	9708
25	258	9692
26	268	9682
27	278	9672
28	288	9649
29	297	9632
30	307	9609
31	317	9589
32	326	9581
33	336	9565
34	346	9547
35	355	9529
36	365	9514
37	375	9499
38	384	9483
39	395	9481
40	404	9467
41	417	9512
42	426	9491
43	436	9475
44	445	9455
45	455	9436
46	464	9416
47	474	9403
48	483	9384
49	493	9373
50	503	9366
51	512	9347
52	522	9333
53	531	9317
54	541	9302
55	551	9290
56	560	9275
57	570	9259
58	579	9243
59	589	9228
60	598	9214
61	607	9197
62	619	9217
63	629	9202
64	638	9186
65	648	9171
66	657	9154
67	666	9138
68	676	9123
69	685	9110
70	695	9097
71	704	9083
72	714	9076
73	724	9064
74	733	9051
75	743	9042
76	753	9027
77	762	9015
78	772	9006
79	782	9000
80	792	8988
81	801	8975
82	813	8988
83	823	8975
84	834	8981
85	844	8971
86	853	8958
87	862	8943
88	872	8928
89	881	8914
90	891	8903
91	900	8889
92	910	8876
93	920	8867
94	929	8854
95	939	8843
96	948	8832
97	958	8820
98	967	8809
99	977	8797
100	986	8785
101	996	8773
102	1006	8764
103	1018	8776
104	1029	8777
105	1039	8766
106	1048	8754
107	1058	8741
108	1068	8731
109	1077	8717
110	1089	8728
111	1099	8716
112	1110	8719
113	1120	8706
114	1129	8693
115	1139	8683
116	1149	8672
117	1158	8661
118	1168	8651
119	1178	8639
120	1187	8626
121	1197	8615
122	1211	8637
123	1221	8628
124	1231	8620
125	1241	8609
126	1251	8599
127	1260	8588
128	1270	8576
129	1280	8569
130	1290	8558
131	1299	8546
132	1309	8533
133	1318	8522
134	1328	8512
135	1338	8501
136	1347	8488
137	1356	8475
138	1366	8463
139	1375	8451
140	1385	8440
141	1395	8430
142	1404	8419
143	1415	8414
144	1425	8404
145	1435	8396
146	1445	8386
147	1455	8376
148	1464	8364
149	1474	8353
150	1484	8343
151	1494	8338
152	1504	8326
153	1514	8317
154	1523	8306
155	1533	8295
156	1542	8283
157	1552	8272
158	1561	8260
159	1571	8248
160	1580	8238
161	1590	8226
162	1600	8216
163	1609	8206
164	1619	8194
165	1629	8187
166	1639	8176
167	1648	8165
168	1658	8154
169	1668	8143
170	1677	8133
171	1687	8123
172	1696	8110
173	1708	8110
174	1718	8099
175	1728	8094
176	1739	8087
177	1749	8077
178	1759	8068
179	1768	8057
180	1778	8046
181	1787	8035
182	1797	8024
183	1806	8011
184	1815	7999
185	1825	7988
186	1836	7983
187	1845	7971
188	1854	7958
189	1864	7946
190	1873	7935
191	1882	7923
192	1892	7912
193	1901	7900
194	1911	7890
195	1920	7877
196	1929	7866
197	1939	7854
198	1948	7843
199	1957	7831
200	1966	7818
201	1976	7807
202	1985	7795
203	1994	7783
204	2004	7771
205	2013	7761
206	2023	7750
207	2032	7739
208	2042	7728
209	2051	7717
210	2061	7710
211	2071	7700
212	2081	7689
213	2090	7678
214	2100	7668
215	2113	7670
216	2122	7659
217	2132	7648
218	2142	7639
219	2151	7627
220	2160	7616
221	2170	7606
222	2179	7595
223	2189	7583
224	2198	7572
225	2208	7562
226	2217	7550
227	2226	7540
228	2236	7531
229	2246	7520
230	2255	7508
231	2264	7497
232	2274	7486
233	2283	7475
234	2293	7465
235	2305	7462
236	2314	7452
237	2324	7442
238	2334	7432
239	2344	7423
240	2353	7411
241	2362	7400
242	2372	7391
243	2381	7380
244	2391	7369
245	2400	7358
246	2409	7347
247	2419	7336
248	2429	7326
249	2438	7315
250	2448	7305
251	2457	7293
252	2466	7282
253	2476	7272
254	2485	7262
255	2495	7251
256	2507	7248
257	2516	7237
258	2526	7227
259	2535	7216
260	2545	7206
261	2554	7195
262	2565	7189
263	2575	7180
264	2585	7171
265	2595	7161
266	2605	7152
267	2615	7143
268	2625	7133
269	2634	7123
270	2644	7113
271	2654	7103
272	2663	7093
273	2673	7083
274	2683	7073
275	2692	7063
276	2704	7059
277	2714	7049
278	2724	7040
279	2733	7029
280	2743	7019
281	2753	7009
282	2762	6999
283	2772	6988
284	2782	6979
285	2791	6969
286	2801	6959
287	2810	6949
288	2821	6940
289	2830	6930
290	2840	6920
291	2850	6911
292	2860	6901
293	2869	6891
294	2879	6882
295	2889	6872
296	2901	6868
297	2911	6858
298	2920	6847
299	2930	6838
300	2940	6827
301	2949	6817
302	2958	6806
