,smiles,prediction,prediction_type,ligand ID,vina_affinity,exhaustiveness,n_poses,Molecule ChEMBL ID
0,C1CC1C(=O)NC2=NC=CC(=C2)NC(=O)C3=C(C=CC=C3Cl)Cl,6.913766666666666,regression,Reference_0X5,,,,
1,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,7.9503533333333385,regression,CHEMBL4789639,,,,CHEMBL4789639
2,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncccn2)c1OC,8.139828571428572,regression,CHEMBL4793760,,,,CHEMBL4793760
3,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,8.552886484071484,regression,Deucravacitinib,,,,CHEMBL4435170
4,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,8.125150217005217,regression,Ruxolitinib,,,,CHEMBL1789941
5,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,7.942662500000001,regression,AT-9283,,,,CHEMBL495727
6,NC(=O)c1cnc2[nH]ccc2c1N[C@H]1[C@H]2CC3C[C@@H]1C[C@](O)(C3)C2,8.276982380952377,regression,Peficitinib,,,,CHEMBL3137308
7,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,7.3324271607309734,regression,Tofacitinib,,,,
8,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,7.381025364357865,regression,Baricitinib,,,,CHEMBL2105759
9,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)O,8.276982380952377,regression,Predicted_nr1,,,,
10,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,8.125150217005217,regression,Predicted_nr2,,,,
11,C1CCC(CC1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,8.11410855033855,regression,Predicted_nr3,,,,
12,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NN=N3,8.091565844710843,regression,Predicted_nr4,,,,
13,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)N,8.082389047619044,regression,Predicted_nr5,,,,
14,C1CC1C(=O)NC2=NC=CC(=C2)NC(=O)C3=C(C=CC=C3Cl)Cl,5.917262315931807,docking,Reference_0X5,-8.066,10.0,10.0,
15,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,5.982553209326045,docking,CHEMBL4789639,-8.155,10.0,10.0,CHEMBL4789639
16,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncccn2)c1OC,6.00602858672622,docking,CHEMBL4793760,-8.187,10.0,10.0,CHEMBL4793760
17,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,9.99904356138737,docking,Deucravacitinib,-13.630,10.0,10.0,CHEMBL4435170
18,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,5.7764100515307515,docking,Ruxolitinib,-7.874,10.0,10.0,CHEMBL1789941
19,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,8.49001695788232,docking,AT-9283,-11.573,10.0,10.0,CHEMBL495727
20,NC(=O)c1cnc2[nH]ccc2c1N[C@H]1[C@H]2CC3C[C@@H]1C[C@](O)(C3)C2,7.041146008965222,docking,Peficitinib,-9.598,10.0,10.0,CHEMBL3137308
21,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,6.595113838361883,docking,Tofacitinib,-8.990,10.0,10.0,
22,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,6.857011017482592,docking,Baricitinib,-9.347,10.0,10.0,CHEMBL2105759
23,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)O,7.617026360813283,docking,Predicted_nr1,-10.383,10.0,10.0,
